GO_term	genomefreq	chrXXfreq
GO:0006468	210	8
GO:0005524	683	19
GO:0004672	208	8
GO:0003676	524	101
GO:0005576	38	0
GO:0009405	2	0
GO:0006355	742	14
GO:0005634	875	16
GO:0008270	1079	28
GO:0000981	606	11
GO:0016021	994	10
GO:0055085	837	9
GO:0005975	345	13
GO:0004553	231	12
GO:0004568	30	8
GO:0006032	30	8
GO:0008061	22	4
GO:0003824	863	9
GO:0006629	71	2
GO:0008152	593	6
GO:0030729	4	0
GO:0071949	91	2
GO:0055114	1237	26
GO:0016491	986	13
GO:0005506	210	9
GO:0016705	175	9
GO:0020037	209	10
GO:0004888	8	0
GO:0016020	507	4
GO:0007166	8	0
GO:0022891	134	1
GO:0005215	209	1
GO:0022857	192	1
GO:0016884	44	4
GO:0006351	407	4
GO:0003677	582	9
GO:0006950	51	0
GO:0016787	268	1
GO:0008237	34	1
GO:0030600	2	0
GO:0016998	3	0
GO:0003333	95	0
GO:0006865	33	0
GO:0015171	95	0
GO:0006810	178	2
GO:0046873	32	0
GO:0030001	40	0
GO:0005515	996	18
GO:0046872	259	11
GO:0042626	65	2
GO:0016887	87	2
GO:0004563	4	0
GO:0008171	23	1
GO:0016208	2	0
GO:0019427	2	0
GO:0003987	2	0
GO:0006508	179	6
GO:0008236	23	0
GO:0016407	9	0
GO:0003884	10	0
GO:0046416	10	0
GO:0003700	104	5
GO:0004356	5	0
GO:0006807	33	0
GO:0008080	68	1
GO:0008299	9	0
GO:0015098	2	0
GO:0015689	2	0
GO:0004557	3	0
GO:0019239	6	0
GO:0005737	145	0
GO:0004764	5	0
GO:0006979	25	1
GO:0004497	33	1
GO:0050660	173	3
GO:0016614	96	1
GO:0016829	43	0
GO:0004371	5	0
GO:0006071	5	0
GO:0046854	8	0
GO:0008081	29	0
GO:0008889	4	0
GO:0016810	57	1
GO:0050662	39	2
GO:0004571	9	0
GO:0005509	36	0
GO:0006281	89	6
GO:0004518	14	0
GO:0048476	2	0
GO:0008408	9	0
GO:0006302	4	1
GO:0004519	7	0
GO:0030145	8	0
GO:0030870	2	0
GO:0016311	13	0
GO:0004725	13	0
GO:0016791	23	0
GO:0003684	14	0
GO:0006289	14	0
GO:0006401	3	0
GO:0003724	2	0
GO:0003723	106	1
GO:0004129	8	0
GO:0003735	99	0
GO:0005763	1	0
GO:0007264	44	0
GO:0005525	105	0
GO:0004107	1	0
GO:0009073	7	0
GO:0006464	11	2
GO:0000166	162	0
GO:0046923	2	0
GO:0006621	2	0
GO:0006352	11	0
GO:0005840	93	0
GO:0006412	101	0
GO:0003865	1	0
GO:0016627	30	1
GO:0008202	1	0
GO:0007131	1	0
GO:0032300	3	0
GO:0006298	12	0
GO:0006886	52	0
GO:0005488	132	1
GO:0016192	36	0
GO:0009058	66	2
GO:0030163	9	0
GO:0006470	18	0
GO:0005856	3	0
GO:0030833	4	0
GO:0005885	7	0
GO:0034314	7	0
GO:0030488	4	0
GO:0031515	3	0
GO:0050661	63	2
GO:0004499	45	2
GO:0006817	7	0
GO:0005315	7	0
GO:0042273	1	0
GO:0000055	1	0
GO:0030036	7	0
GO:0003968	5	0
GO:0000124	1	0
GO:0003712	2	0
GO:0008483	22	0
GO:0030170	90	2
GO:0006525	2	0
GO:0016831	28	0
GO:0019752	21	0
GO:0004351	2	0
GO:0006536	2	0
GO:0050525	6	0
GO:0004198	11	2
GO:0005622	124	2
